time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1564084115.39,-0.0206317132944,0.0920109975628,0.936811008934,-1.24878262674,-0.720011436463,-0.917823223771,-338.029990616,1507.50818407,15348.7115704,-163.590524103,-94.3214981767,-120.234842314
1564084115.5,-0.0206925654025,0.093527671244,0.93922365804,-1.24680512743,-0.728926323351,-0.932147771623,-339.026991554,1532.35736566,15388.2404133,-163.331471693,-95.489348359,-122.111358083
1564084115.62,-0.0209182307372,0.0921827166196,0.941810081299,-1.24044522537,-0.746110026894,-0.932062765453,-342.724292399,1510.3216291,15430.616372,-162.498324524,-97.7404135231,-122.100222274
1564084115.73,-0.020999259226,0.0909722574577,0.943869307544,-1.24922513032,-0.744781466953,-0.91519236677,-344.051863159,1490.48946619,15464.3547348,-163.648492071,-97.5663721708,-119.890200047
1564084115.85,-0.0209989426784,0.0912500317119,0.94586909554,-1.24185986919,-0.739005610334,-0.929016641544,-344.046676843,1495.04051957,15497.1192613,-162.683642864,-96.8097349537,-121.701180042
1564084115.96,-0.0213404546606,0.0899863566657,0.947742146923,-1.25813189754,-0.746021079835,-0.916267649145,-349.642009159,1474.33646761,15527.8073352,-164.815278578,-97.7287614583,-120.031062038
1564084116.07,-0.021232776382,0.0903138928741,0.948793127543,-1.25827290626,-0.731724315363,-0.929221036902,-347.877808243,1479.70282085,15545.0266017,-164.83375072,-95.8558853125,-121.727955834
1564084116.19,-0.0217218034313,0.0921955895242,0.950788814789,-1.08588073014,-0.846338143368,-0.935535574433,-355.890027419,1510.53253876,15577.7239415,-142.250375648,-110.870296781,-122.555160251
1564084116.3,-0.0215027480882,0.0914721243218,0.950802706748,-1.85591861132,-0.61819287865,-1.01144766585,-352.301024677,1498.67928489,15577.9515474,-243.125338083,-80.9832671031,-132.499644226
1564084116.41,-0.0219891920294,0.0911628025146,0.95159645951,-1.76880003263,-0.65332015567,-0.947707479413,-360.270922209,1493.6113564,15590.9563926,-231.712804275,-85.5849403928,-124.149679803
1564084116.53,-0.0225978900139,0.0896637097632,0.950919235434,-1.37741621258,-0.66203394163,-1.0911046704,-370.243829988,1469.05022076,15579.8607534,-180.441523847,-86.7264463535,-142.934711823
1564084116.64,-0.0169689603875,0.0971280028493,0.958610515016,-4.58852955315,0.834703803678,-1.46367359268,-278.019446989,1591.34519868,15705.874678,-601.097371463,109.346198282,-191.741240641
1564084116.75,-0.00460311903628,0.115369304127,0.958257276014,-5.63960026196,0.904668537814,-1.70051234028,-75.4175022904,1890.21067882,15700.0872102,-738.787634316,118.511578454,-222.767116576
1564084116.87,-0.00299534619515,0.0956292487142,0.988896392163,-5.63518222049,1.64778947029,0.41915721436,-49.0757520614,1566.78961093,16202.0784892,-738.208870885,215.860420608,54.9095950812
1564084116.98,-0.00401417095064,0.103400308218,0.981828042009,-6.44876323509,5.43720899655,1.64136363033,-65.7681768552,1694.11064984,16086.2706403,-844.787983796,712.274378547,215.018635573
1564084117.1,-0.00817818354307,0.096527074271,0.977151097183,-5.6244975986,3.57135069231,-1.52048265637,-133.99135917,1581.49958486,16009.6435762,-736.809185417,467.846940693,-199.183227984
1564084117.21,-0.000182630813767,0.0969329605939,0.970134229652,-13.3292234113,4.2813911956,-18.3478237037,-2.99222325275,1588.14962637,15894.6792186,-1746.12826687,560.862246623,-2403.56490519
